id,city_id/id,code,name
res_zone_ec_1,__export__.res_city_179,01,Adm. Eugenio Espejo
res_zone_ec_2,__export__.res_city_179,02,Adm. Manuela Sáenz
res_zone_ec_3,__export__.res_city_179,03,Adm. Eloy Alfaro
res_zone_ec_4,__export__.res_city_179,04,Adm. Quitumbe
res_zone_ec_5,__export__.res_city_179,05,Adm. Calderón
res_zone_ec_6,__export__.res_city_179,06,Adm. Tumbaco
res_zone_ec_7,__export__.res_city_179,07,Adm. Los Chillos
res_zone_ec_8,__export__.res_city_179,08,Adm. La Delicia
res_zone_ec_10,__export__.res_city_1,01,Cuenca
res_zone_ec_11,__export__.res_city_2,02,Girón
res_zone_ec_12,__export__.res_city_3,03,Gualaceo
res_zone_ec_13,__export__.res_city_4,04,Nabon
res_zone_ec_14,__export__.res_city_5,05,Paute
res_zone_ec_15,__export__.res_city_6,06,Pucara
res_zone_ec_16,__export__.res_city_7,07,San Fernando
res_zone_ec_17,__export__.res_city_8,08,Santa Isabel
res_zone_ec_18,__export__.res_city_9,09,Sigsig
res_zone_ec_19,__export__.res_city_10,10,Ona
res_zone_ec_20,__export__.res_city_11,11,Chordeleg
res_zone_ec_21,__export__.res_city_12,12,El Pan
res_zone_ec_22,__export__.res_city_13,13,Sevilla De Oro
res_zone_ec_23,__export__.res_city_14,14,Guachapala
res_zone_ec_24,__export__.res_city_15,15,Camilo Ponce  Enriquez
res_zone_ec_25,__export__.res_city_16,01,Guaranda
res_zone_ec_26,__export__.res_city_17,02,Chillanes
res_zone_ec_27,__export__.res_city_18,03,Chimbo
res_zone_ec_28,__export__.res_city_19,04,Echeandía
res_zone_ec_29,__export__.res_city_20,05,San Miguel
res_zone_ec_30,__export__.res_city_21,06,Caluma
res_zone_ec_31,__export__.res_city_22,07,Las Naves
res_zone_ec_32,__export__.res_city_23,01,Azogues
res_zone_ec_33,__export__.res_city_24,02,Biblián
res_zone_ec_34,__export__.res_city_25,03,Cañar
res_zone_ec_35,__export__.res_city_26,04,La Troncal
res_zone_ec_36,__export__.res_city_27,05,El Tambo
res_zone_ec_37,__export__.res_city_28,06,Déeleg
res_zone_ec_38,__export__.res_city_29,07,Suscal
res_zone_ec_39,__export__.res_city_30,01,Tulcán
res_zone_ec_40,__export__.res_city_31,02,Bolívar
res_zone_ec_41,__export__.res_city_32,03,Espejo
res_zone_ec_42,__export__.res_city_33,04,Mira
res_zone_ec_43,__export__.res_city_34,05,Montúfar
res_zone_ec_44,__export__.res_city_35,06,San Pedro De Huaca
res_zone_ec_45,__export__.res_city_36,01,Latacunga
res_zone_ec_46,__export__.res_city_37,02,La Maná
res_zone_ec_47,__export__.res_city_38,03,Pangua
res_zone_ec_48,__export__.res_city_39,04,Pujilí
res_zone_ec_49,__export__.res_city_40,05,Salcedo
res_zone_ec_50,__export__.res_city_41,06,Saquisilí
res_zone_ec_51,__export__.res_city_42,07,Sigchos
